Instrument ID,Image Filename,Image Citation,Instrument Name,Instrument Description,Instrument Uses,Other Names,Image URL
104,104_bone curettes.png,Set 8 Volkmann bone curette sharp spoon dental Medical Surgical tissue surgery | eBay. (n.d.). eBay. https://www.ebay.ph/itm/162349722048,Bone Curettes,Spoon or scoop-shaped instruments with sharp edges used to scrape or remove bone and soft tissues.,"Used in neurosurgical, spinal, and orthopedic procedures to remove bone fragments and clean out lesion sites.",Bone Scrapers,orcep 
105,105_bipolar cautery forceps.png,Bovie Reusable bipolar Forceps. (n.d.). https://avantehs.com/s/bovie-reusable-bipolar-forceps/1976,Bipolar Cautery Forceps,A two-pronged electrosurgical instrument that coagulates tissues with minimal thermal spread.,Used in neurosurgical procedures to achieve precise hemostasis around delicate structures.,Bipolar Coagulation Forceps,https://avantehs.com/s/bovie-reusable-bipolar-forceps/1976
106,106_monopolar cautery pencil.png,"vetOvation, Inc. (2024, March 29). Monopolar Reusable Cautery Pencil | Vet Instruments. VetOvation. https://vetovation.com/product/reusable-monopolar-cautery-pencil/",Monopolar Cautery Pencil,A single-prong electrosurgical device that cuts or coagulates tissue using high-frequency current.,Used in general and neurosurgical procedures for tissue dissection and hemostasis.,Bovie Electrocautery Pencil,https://vetovation.com/product/reusable-monopolar-cautery-pencil/
107,107_cotton patties.png,"American Surgical Company. (2023, May 25). What are cottonoids used for?https://www.americansurgical.com/neurosurgery/what-are-cottonoids-used-for/",Cotton Patties,"Small, absorbent pads used to protect brain and spinal cord tissues while maintaining a clear field.",Used in craniotomies and spinal surgeries to control minor bleeding and cushion delicate structures.,"Neurosurgical Cottonoids, Cottonoid Sponges",https://www.americansurgical.com/neurosurgery/what-are-cottonoids-used-for/
108,108_bone wax.png,Bone wax. (n.d.). B. Braun Melsungen AG. https://www.bbraun-asiapacific.com/en/products/b0/bone-wax-bone-waxstick.html,Bone Wax,A wax-like material applied to bone surfaces to stop bleeding.,Used in neurosurgery and orthopedic procedures to control bleeding from cut bone surfaces.,"Hemostatic Bone Sealant",https://www.bbraun-asiapacific.com/en/products/b0/bone-wax-bone-waxstick.html
109,109_hemostats.png,GermedUSAIT. (n.d.). What are hemostats? Types of hemostats and their usage in dentistry. GerDentUSA. https://www.gerdentusa.com/blog/what-are-hemostats-types-of-hemostats-and-their-usage-in-dentistry,Hemostats,Locking forceps with curved or straight tips.,Used to clamp blood vessels and control bleeding.,Artery forceps,https://www.gerdentusa.com/blog/what-are-hemostats-types-of-hemostats-and-their-usage-in-dentistry
110,110_iris scissors.png,"precision, Scissor, Eye, Suture. (n.d.). https://www.fishersci.ca/shop/products/premier-iris-scissors/22079747",Iris Scissors,"Small, fine-tipped scissors",Used for fine dissection and trimming tissues.,Fine scissors,https://www.fishersci.ca/shop/products/premier-iris-scissors/22079747
111,111_osteotome.png,[Osteotome]. (n.d.). https://www.teleflexsurgicalcatalog.com/pilling/product/km46366-hibbs-osteotome,Osteotome,A chisel-like instrument with a beveled edge.,Used for controlled bone cutting or reshaping.,Bone chisel,https://www.teleflexsurgicalcatalog.com/pilling/product/km46366-hibbs-osteotome
112,112_Bone Holding Forceps.png,"Surtex Instruments.com. (2024, February 29). SURTEX® Frosch Bone Holding Forcep - Serrated Jaws. https://surtex-instruments.com/product/frosch-bone-holding-forcep/",Bone Holding Forceps,A clamp-like instrument with a locking mechanism.,A clamp-like instrument with a locking mechanism.,Bone clamp,https://surtex-instruments.com/product/frosch-bone-holding-forcep/
113,"113_Periosteal Elevator.png",Periosteal Elevators | 15% discount | GerMedUSA Inc. (n.d.). https://www.germedusa.com/p-11767-periosteal-elevators.aspx,Periosteal Elevator,"A thin, flat instrument with a curved tip.",Used for lifting periosteum from bone.,Bone elevator,https://www.germedusa.com/p-11767-periosteal-elevators.aspx
114,114_umbilical cord clamp.png,GSTC. (n.d.). Umbilical cord clamp. GSTC. https://www.gstc.com/product/umbilical-cord-clamp/,Umbilical Cord Clamp ,A clamp used to occlude the umbilical cord after birth to prevent bleeding before it is cut.,"Used during childbirth to clamp the umbilical cord shortly after delivery, preventing blood loss from the cord until it is severed.","Cord clamp, obstetrical cord clamp",https://www.gstc.com/product/umbilical-cord-clamp/
115,115_russian forcep.png,GermedUSA. (n.d.). Gynecological tissue forceps. GermedUSA. https://www.germedusa.com/p-12765-gynecological-tissue-forceps.aspx,Russian Forceps,"A type of forceps with a rounded, cupped design, used in obstetrics for assisting with delivery.","Typically used for assisting in the delivery of the baby during a vaginal birth, especially in cases of fetal distress or prolonged labor.","Obstetrical forceps, cupped forceps",https://www.germedusa.com/p-12765-gynecological-tissue-forceps.aspx
116,116_orthopaedic implants.png,MJ Surgical. (n.d.). About us. MJ Surgical. https://www.mjsurgical.com/about-us/,Orthopaedic Implants,"Orthopaedic implants are medical devices designed to support, replace, or stabilize damaged bones, joints, or cartilage.","They are used in fracture fixation, joint replacement, spinal stabilization, and deformity correction surgeries.","Bone implants, Surgical implants, Orthopaedic prosthetics, Internal fixation devices, Joint replacement implants, Fracture fixation devices",https://www.mjsurgical.com/about-us/
117,117_tenotomy scissors.png,Accuspire. (n.d.). Stevens tenotomy scissors – 11-131S. Accuspire. https://www.accuspire.com/stevens-tenotomy-scissors-11-131s/,Tenotomy Scissors," A tenotomy scissor is a surgical instrument with fine, sharp, or blunt-tipped blades used for precise cutting of soft tissues, especially in delicate procedures.","It is commonly used in ophthalmic, plastic, and orthopedic surgeries to cut tendons, tissues, or sutures with precision.","Stevens scissors, Delicate dissecting scissors",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.accuspire.com%2Fstevens-tenotomy-scissors-11-131s%2F&psig=AOvVaw22yHhbqFLerWQWgVG8v0q7&ust=1741704650325000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLDV8srh_4sDFQAAAAAdAAAAABAI
118,118_double hook retractor.png,Siora Surgicals Private Limited. (n.d.). Double hook retractor. Siora Surgicals Private Limited. https://www.siiora.com/product/double-hook-retractor/,Double Hook Retractor ,"A double hook retractor is a surgical instrument with two curved, pointed hooks used to hold back soft tissues or skin for better exposure during procedures.","It is commonly used in plastic surgery, dermatologic procedures, and orthopedic surgeries to retract delicate tissues with minimal trauma.","Skin hook retractor, Tenotomy hook, Surgical hook retractor",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.siiora.com%2Fproduct%2Fdouble-hook-retractor%2F&psig=AOvVaw1ycE7oMj3viIOdeedEtNVd&ust=1741705435726000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCJjVyMLk_4sDFQAAAAAdAAAAABAO
119,119_stockinette.png,NineLife. (n.d.). McKesson stockinette bandage wrap. NineLife. https://ninelife.ph/products/mckesson-stockinette-bandage-wrap-cotton-single-ply-nonsterile-bias-cut-size-1-4-in-x-50-yd-1-count-1-pack,Stockinette,"A soft, stretchable fabric tube used as a protective layer under casts or splints.",It prevents skin irritation and provides a barrier between the skin and casting materials,"Cast liner, Tubular bandage",https://www.google.com/url?sa=i&url=https%3A%2F%2Fninelife.ph%2Fproducts%2Fmckesson-stockinette-bandage-wrap-cotton-single-ply-nonsterile-bias-cut-size-1-4-in-x-50-yd-1-count-1-pack&psig=AOvVaw3soHNflTPBkFVqkKuqBAoO&ust=1741705776710000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNjuj-Tl_4sDFQAAAAAdAAAAABAJ
120,120_padding.png,OPC Health. (n.d.). Webril undercast padding. OPC Health. https://www.opchealth.com.au/images/thumbs/0000984_webril-undercast-padding_510.jpeg,Padding (Webril),"A soft, cotton or synthetic material placed under casts for cushioning and protection.",It prevents pressure sores and ensures comfort while wearing a cast,"Cast padding, Under-cast padding",https://www.opchealth.com.au/images/thumbs/0000984_webril-undercast-padding_510.jpeg
121,121_plaster.png,"Amazon. (n.d.). Fiberglass casting tape. Amazon. https://m.media-amazon.com/images/I/81GiIGF8TfL.AC_UF894,1000_QL80.jpg",Plaster or fiberglass rolls ,Malleable strips used to create orthopedic casts for immobilizing fractures or injuries.,"They harden upon exposure to water, forming a rigid support structure.","Plaster of paris, Casting tape, Orthopedic casting rolls","https://m.media-amazon.com/images/I/81GiIGF8TfL._AC_UF894,1000_QL80_.jpg"
122,122_bandage shears.png ,Wilcare. (n.d.). Bandage scissors. Wilcare. https://wilcare.com.ph/cdn/shop/products/Bandage-Scissors_600x600.jpg?v=1564960552,Bandage Shears,"Heavy-duty scissors with an angled, blunt tip designed for cutting bandages and dressings.","They safely remove bandages, dressings, or medical tapes without injuring the skin.","Trauma shears, Medical scissors",https://wilcare.com.ph/cdn/shop/products/Bandage-Scissors_600x600.jpg?v=1564960552
123,123_NEW_plaster spreader.png ,"Spreader, plaster, Hennig - Standard products catalogue IFRC ICRC. (n.d.). https://itemscatalogue.redcross.int/detail.aspx?itemcode=XSINMEDI407027&from=kit",Plaster Spreader,"A hand tool with wide, curved jaws used to pry open hardened plaster casts.",It facilitates the safe removal of a cast by loosening its structure before cutting.,"Cast spreader, Orthopedic cast breaker",https://itemscatalogue.redcross.int/detail.aspx?itemcode=XSINMEDI407027&from=kit
124,124_cast saw.png,Wikimedia Commons. (n.d.). Elektrische Gipssäge [Electric cast saw]. Wikimedia Commons. https://upload.wikimedia.org/wikipedia/commons/3/3f/Elektrische_Gipss%C3%A4ge.JPG,Cast saw (for removal), A specialized oscillating saw designed to cut through plaster or fiberglass casts without harming the skin.,It is used in medical settings to safely remove orthopedic casts.,"Orthopedic saw, Cast cutter",https://upload.wikimedia.org/wikipedia/commons/3/3f/Elektrische_Gipss%C3%A4ge.JPG
125,125_tonsil clamp.png,GermedUSA. (n.d.). Schnidt tonsil hemostatic forceps. https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.germedusa.com%2Fp-13202-schnidt-tonsil-hemostatic-forceps.aspx&psig=AOvVaw3UBwY7WHqOzfbEG4sz-1rk&ust=1741715818029000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDt1J6LgIwDFQAAAAAdAAAAABAK,Tonsil Clamp,"Mechanical handheld clamping instrument with curved, serrated jaws. Available in various lengths and designs.",Used in tonsillectomies and other throat surgeries to clamp and secure blood vessels or tissue.,Tonsillar Clamp,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.germedusa.com%2Fp-13202-schnidt-tonsil-hemostatic-forceps.aspx&psig=AOvVaw3UBwY7WHqOzfbEG4sz-1rk&ust=1741715818029000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDt1J6LgIwDFQAAAAAdAAAAABAK
126,126_Lung grasping forcep.png,Lovelace Lung Grasping Forceps | GerMedUSA Inc. (n.d.). https://www.germedusa.com/p-12660-lovelace-lung-grasping-forceps.aspx,Lung Grasping Forcep,"These are specialized, long-handled forceps with serrated or smooth jaws designed for atraumatic handling of lung tissue during thoracic surgeries. They are typically made of stainless steel.",Used to grasp and hold lung tissue without causing damage during procedures such as lobectomies or biopsies.,"Lung Holding Forceps, Duval Lung Forceps (if triangular in shape), Atraumatic Lung Forceps",https://www.germedusa.com/p-12660-lovelace-lung-grasping-forceps.aspx
127,127_Guidewire Dilating forcep.png,BSIPL Tracheal Dilating Forceps Double Sping Action 6.5 inch Stainless steel : Amazon.in: Industrial & Scientific. (n.d.). https://www.amazon.in/BSIPL-Tracheal-Dilating-Forceps-Stainless/dp/B09QH6FJB2,Guidewire Dilating Forcep,"A long, slender, and curved or straight forceps designed to facilitate the dilation of tissues around a guidewire during procedures such as tracheostomy or central venous catheter placement.",Used to dilate soft tissues and create a tract over a guidewire for catheter or tube insertion.,"Trousseau Dilating Forceps, Tracheostomy Dilator, Wire Introducer Forceps",https://www.amazon.in/BSIPL-Tracheal-Dilating-Forceps-Stainless/dp/B09QH6FJB2
128,128_ Finochietto Rib Retractor.png,"Finochietto Rib Spreader Infant alum blades 3/4"" [15mm] x 1/2"" [12mm] x 4"" [100mm] opening - gSource. (2025, January 20). gSource. https://www.gsource.com/instruments/spine/spine-retractors-self-retaining/finochietto-rib-spine-retractors-self-retaining/finochietto-rib-spreader-infant-alum-blades-3-4-15mm-x-1-2-12mm-x-4-100mm-opening/",Finochietto Rib Retractor,"a self-retaining, mechanical retractor with adjustable, curved blades designed to separate the ribs during thoracic surgery. It has a ratchet mechanism for gradual and controlled spreading.","Used to retract and hold open the rib cage for access to thoracic organs, such as during open-heart surgery or thoracotomy.","Thoracic Retractor, Chest Wall Retractor",https://www.gsource.com/instruments/spine/spine-retractors-self-retaining/finochietto-rib-spine-retractors-self-retaining/finochietto-rib-spreader-infant-alum-blades-3-4-15mm-x-1-2-12mm-x-4-100mm-opening/
129,129_Rib Spreader.png,IndiaMART. (n.d.). Rib spreader retractor. IndiaMART. https://www.indiamart.com/proddetail/rib-spreader-retractor-22518899455.html,Rib Spreader,A general term for instruments used to separate ribs. It can be manual or self-retaining and consists of two arms with blades that are spread apart to create an opening in the rib cage.,"Used to spread the ribs apart during thoracic surgeries to allow access to the lungs, heart, or other thoracic structures.","Chest Spreader, Thoracic Spreader",https://www.indiamart.com/proddetail/rib-spreader-retractor-22518899455.html
130,130_green retractor.png,Marina Medical. (n.d.). Green thyroid retractor. Marina Medical. https://marinamedical.com/product/green-thyroid-retractor/,Green Thyroid Retractor," A handheld, curved retractor with a fenestrated blade.",It is used to gently retract the thyroid gland and surrounding tissues for better exposure during thyroidectomy and neck surgeries.,"Green Retractor, Loop Retractor",https://marinamedical.com/product/green-thyroid-retractor/
131,131_lahey thyroid retractor.png,"GermedUSA. (n.d.). Lahey thyroid retractor 7 1/2"". GermedUSA. https://www.germedusa.com/p-3046-lahey-thyroid-retractor-7-12.aspx",Lahey Thyroid Retractor,"A right-angled, handheld retractor designed for deep tissue retraction","It is used to elevate and retract soft tissues, particularly the thyroid gland, to improve visibility and access in thyroid and other cervical surgeries.","Lahey Retractor, Lahey Goiter Retractor",https://www.germedusa.com/p-3046-lahey-thyroid-retractor-7-12.aspx
132,132_nerve stimulator.png,Clinilab. (n.d.). Checkpoint [Nerve Stimulator]. Clinilab. https://www.clinilab.gr/en/product/checkpoint-en/,Nerve Stimulator ,A medical device that delivers electrical impulses to nerves to assess their function and integrity during surgery,"It is used to identify and protect nerves, particularly in procedures like thyroidectomy and parotidectomy, to prevent accidental nerve injury.","Nerve Stimulator, Peripheral Nerve Stimulator, Intraoperative Nerve Monitor",https://www.clinilab.gr/en/product/checkpoint-en/
133,133_gomco clamp.png,IndoSurgicals. (n.d.). Gomco circumcision clamp. IndoSurgicals. https://www.indosurgicals.com/surgical-instruments-manufacturer/other-instruments/93600-gomco-circumcision-clamp.php,Gomco Clamp,A specialized surgical instrument consisting of a metal bell and a clamping mechanism designed for neonatal and infant circumcision.,"t is used to safely remove the foreskin by crushing and cutting it, minimizing bleeding and promoting proper healing.","Gomco Clamp, Gomco Circumcision Clamp, Gomco Devic",https://www.indosurgicals.com/surgical-instruments-manufacturer/other-instruments/93600-gomco-circumcision-clamp.php
134,134_mogen clamp.png ,Medline. (n.d.). König Mogen circumcision clamps. Medline. https://punchout.medline.com/product/Knig-Mogen-Circumcision-Clamps/Z05-PF09262,Mogen Clamp ,"A specialized, flat, hinged clamp with a narrow slit designed for quick and efficient circumcision. ","It is used to grasp and shield the foreskin, allowing for a swift and precise excision while minimizing tissue trauma and bleeding.","Mogen Circumcision Clamp, Mogen Device",https://www.medline.com/product/Knig-Mogen-Circumcision-Clamps/Z05-PF09262
135,135_coban wrap.png,"Shop Wound Care. (n.d.). 3M Coban self-adherent wrap with hand tear 1.5"" x 5 yds. Retrieved March 13, 2025, from https://www.shopwoundcare.com/p-a3m-coban-self-adherent-wrap-with-hand-tear-15-5-yds.html",Coban Wrap,"The Coban wrap is a self-adherent, elastic bandage used for compression and support.","It is commonly used in medical and sports settings to secure dressings, reduce swelling, and provide support to sprains and strains. The wrap sticks to itself without the need for clips or adhesives, making it easy to apply and remove.","self-adherent wrap, cohesive bandage, self-adhesive wrap",https://www.shopwoundcare.com/p-a3m-coban-self-adherent-wrap-with-hand-tear-15-5-yds.html
136,136_tonsil scissors.png,Trusted manufacturer and supplier of tonsil scissor | IndoSurgicals. (n.d.). https://www.indosurgicals.com/surgical-instruments-manufacturer/scissors/94075-tonsil-scissor.php,Tonsil scissors,"Tonsil scissors are specialized surgical scissors with long, slender, and slightly curved blades designed for precise cutting of tissues in the deep areas of the throat during a tonsillectomy. They have a fine tip to allow controlled dissection of the tonsillar tissue while minimizing trauma to surrounding structures",Tonsil scissors are primarily used for cutting and dissecting the tonsillar tissue from its surrounding attachments. They assist in the careful removal of the tonsils while preserving nearby structures. They can also be used for trimming excess tissue and ensuring a clean surgical field.,"Boettcher scissors, Fisher tonsil scissors, Strully scissors",https://www.indosurgicals.com/images/products/94075-tonsil-scissors.jpg
137,137_denis brown tonsil holding forceps.png,DENIS BROWNE TONSIL HOLDING FORCEPS 200MM. (n.d.). Oluşum Cerrahi Aletler. https://www.olusumcerrahi.com/en/urun/DENIS-BROWNE-TONSIL-HOLDING-FORCEPS-200-MM,Denis Brown Tonsil Holding Forceps," The Denis-Browne tonsil holding forceps are specialized surgical instruments designed with a long, curved structure and a ratcheted locking mechanism. The jaws have serrations or fenestrations to securely grasp the tonsil tissue during a tonsillectomy, preventing slippage and ensuring precise removal.","These forceps are used to firmly grasp and stabilize the tonsil during dissection, allowing the surgeon to excise the tissue with better control. They help in reducing trauma to surrounding structures and facilitate efficient removal of the tonsils.","Tonsil grasping forceps, Tonsil holding clamp.",https://www.olusumcerrahi.com/en/urun/DENIS-BROWNE-TONSIL-HOLDING-FORCEPS-200-MM
138,138_tonsil snare.png,Surtex Instruments.com. (n.d.). Tonsil Snares Archives. https://surtex-instruments.com/product-category/ancillary-products-and-accessories/ancillary-products-and-accessories-tonsil-snares/,Tonsil Snare,"A tonsil snare is a surgical instrument consisting of a long handle with a looped wire at the tip, which can be tightened to encircle and sever the tonsil from its attachments. It is designed to provide controlled removal of the tonsils while minimizing bleeding.","The tonsil snare is used in tonsillectomy to excise the tonsil by tightening the wire loop around its base, effectively cutting through the tissue while simultaneously constricting blood vessels to reduce hemorrhage. It is particularly useful in cold dissection techniques.","Tonsil wire snare, Eve’s tonsil snare.",https://surtex-instruments.com/product-category/ancillary-products-and-accessories/ancillary-products-and-accessories-tonsil-snares/
139,139_beckmann adenoid curette.png,"DTR Medical. (2021, August 18). Beckmann Adenoid Curette - DTR Medical. https://dtrmedical.com/product/beckmann-adenoid-curette/",Beckmann Adenoid Curette,"The Beckmann adenoid curette, also known as a tonsil curette, is a long-handled surgical instrument with a sharp, looped or fenestrated blade designed for scraping and removing hypertrophic adenoid or tonsillar tissue. Some variations include a safety guard to prevent excessive tissue removal.",This instrument is primarily used in adenoidectomy to excise adenoid tissue from the nasopharynx and in tonsillectomy to remove residual tonsillar tissue. It provides precise tissue removal with minimal trauma to surrounding structures.,"Adenoid curette, Adenoid removal curette, Beckmann adenotome, tonsil curette",https://dtrmedical.com/product/beckmann-adenoid-curette/
140,140_hurd dissector and pillar retractor.png,Hurd Tonsil Dissector and Pillar Retractor | GERMedUSA Inc. (n.d.). https://www.germedusa.com/p-13245-hurd-tonsil-dissector-and-pillar-retractor.aspx,Hurd Dissector and Pillar Retractor,"The Hurd dissector and pillar retractor is a dual-purpose surgical instrument with a flat, slightly curved blade on one end (dissector) and a hooked or angled retractor on the other. It is designed for use in tonsillectomy and adenoidectomy procedures.","The dissector end is used to separate and mobilize the tonsil from surrounding tissues, aiding in dissection. The pillar retractor end is used to retract the anterior and posterior pillars of the tonsillar fossa, improving visibility and access to the surgical site.","Hurd elevator, Tonsil pillar retractor, Hurd dissector",https://www.germedusa.com/p-13245-hurd-tonsil-dissector-and-pillar-retractor.aspx
141,141_davis-boyle mouth gag with plate.png,Boyle Davis Mouth Gag with Tonsil plates Adult 5 Attachments Surgical Instrument | eBay. (n.d.). eBay. https://www.ebay.ph/itm/354757573456,Davis-Boyle Mouth Gag with Plates,"The Davis-Boyle mouth gag is a self-retaining surgical instrument consisting of a metal frame with an adjustable ratchet mechanism, tongue depressor, and lateral plates. It is designed to keep the mouth open and the tongue depressed, providing a clear surgical field during oral and throat procedures.","This mouth gag is primarily used in tonsillectomy, adenoidectomy, and other oropharyngeal surgeries to maintain mouth opening, improve visibility, and facilitate safe access to the surgical site. The plates help protect the lips and prevent pressure injuries.","Boyle-Davis mouth gag, Tonsillectomy mouth gag, Boyle’s mouth gag.",https://www.ebay.ph/itm/354757573456
142,142_mosquito hemostat.png,"Ortho Technology. (n.d.). Mosquito Hemostat – Curved. Ortho Technology. Retrieved March 13, 2025, from https://www.orthotechnology.com/shop/instruments/mosquito-hemostat-curved/",Mosquito Hemostat,"The Mosquito Hemostat is a small, straight or curved hemostatic forceps with fine, serrated jaws.",It is primarily used for clamping small blood vessels or delicate tissues to control bleeding during surgical procedures.,"Halsted Mosquito Forceps, Mosquito Clamps",https://www.orthotechnology.com/shop/instruments/mosquito-hemostat-curved/
143,143_cobb curette.png,"Buxton Bio. (n.d.). Cobb curette angled 6"". Retrieved March 13, 2025, from https://buxtonbio.com/cobb_curette_angled_6_10442",Cobb Curette,"The Cobb Curette is a long, slender instrument featuring a curved or straight, scoop-shaped tip.","It is designed for scraping and removing soft tissue or bone, particularly in spinal surgeries such as laminectomy.","Spinal Curette, Cobb Spinal Curette",https://buxtonbio.com/cobb_curette_angled_6_10442
144,144_freer elevator.png,Dispomed. (n.d.). Freer periosteal elevator double ended long handle.Dispomed. https://www.dispomed.com/products/freer-periosteal-elevator-double-ended-long-handle/,Freer Elevator,"The Freer elevator is a double-ended surgical instrument with a slightly curved, blunt tip."," It is used to lift and separate soft tissues, such as periosteum from bone, in procedures involving nasal, sinus, or orthopedic surgeries. It is also used in septoplasty and rhinoplasty to dissect nasal cartilage.","periosteal elevator, nasal elevator",https://www.dispomed.com/products/freer-periosteal-elevator-double-ended-long-handle/
145,145_laminectomy rongeurs.png,Surtex Instruments. (n.d.). Cushing laminectomy rongeur.Surtex Instruments. https://surtex-instruments.com/product/cushing-laminectomy-rongeur/,Laminectomy Rongeurs,"The Laminectomy Rongeurs is a heavy-duty, double-action forceps with sharp, scoop-like tips.","Utilized for excising small pieces of bone, particularly in procedures involving decompression of the spinal cord or nerve roots.","Kerrison Rongeur, Leksell Rongeur",https://surtex-instruments.com/product/cushing-laminectomy-rongeur/
146,146_penrose drain.png,"Pioneer Veterinary Products. (n.d.). Penrose drains. Retrieved March 13, 2025, from https://pioneervet.co.uk/product/6302/penrose-drains",Penrose Drain,"The Penrose drain is a soft, flexible rubber tube used for passive drainage of fluids from a surgical site or wound.","It helps prevent fluid buildup and promotes healing by allowing fluids to escape through capillary action. It is commonly used in abdominal, thoracic, and orthopedic surgeries.","rubber drain, passive surgical drain",https://pioneervet.co.uk/product/6302/penrose-drains
147,147_Resectoscope.png,Richard Wolf GmbH. (n.d.). Princess resectoscope. Richard Wolf Website. https://www.richard-wolf.com/en/disciplines/gynecology/princess-resectoscope,Resectoscope,"A thin, tube-like instrument used to remove tissue from inside the body. A resectoscope has a light and a lens for viewing. It also has a tool that uses an electric current to cut, remove, or destroy tissue and control bleeding. In men, a resectoscope is inserted through the urethra into the bladder or prostate.","A resectoscope is a medical instrument used to remove tissue, examine organs, and control bleeding. It's a thin, tube-like device with a light, lens, and an electric tool. ","Cystoscope, Hysteroscope",https://www.richard-wolf.com/en/disciplines/gynecology/princess-resectoscope
148,148_MonopolarLoopElectrode.png,Surgical monopolar and bipolar loop electrodes for urology TURP resectoscope. (n.d.). [Video]. Made-in-China.com. https://teamstandmed.en.made-in-china.com/product/dAmpHnYEFRhl/China-Surgical-Monopolar-and-Bipolar-Loop-Electrodes-for-Urology-Turp-Resectoscope.html,Monopolar Loop Electrode,The Monopolar Loop Electrode is a surgical instrument used in electrosurgical procedures to cut or coagulate tissue.,It is commonly used in transurethral resection of the prostate (TURP) and bladder tumors. The electrode delivers high-frequency electrical energy through a loop-shaped wire to remove tissue efficiently.,"loop electrode, TURP loop, electrosurgical loop",https://teamstandmed.en.made-in-china.com/product/dAmpHnYEFRhl/China-Surgical-Monopolar-and-Bipolar-Loop-Electrodes-for-Urology-Turp-Resectoscope.html
149,149_RollerElectrode.png,HF ELECTRODE - ROLLER ELECTRODE 3mm and 5 mm | Ace Medical Devices. (n.d.). https://acemedicaldevices.com/medical-products/ace_roller_electrode_3mm_-_m_-sr-24f_monopolar_-_for_storz_-_1_stem_-_30_de,Roller Electrode,A cylindrical electrosurgical instrument designed for coagulation and hemostasis.,"It is commonly used in transurethral surgeries, such as TURP, to control bleeding by rolling over tissue while applying electrical current."," coagulation roller, roller ball electrode",https://acemedicaldevices.com/medical-products/ace_roller_electrode_3mm_-_m_-sr-24f_monopolar_-_for_storz_-_1_stem_-_30_de
150,150_CollinsKnifeElectrode.png,"Blueneem. (2024, July 29). Collins Knife |Blueneem. https://blueneem.com/products-list/collins-knife/",Collins Knife Electrode,"A specialized electrosurgical instrument with a sharp, blade-like tip used for precise cutting of soft tissue.",It is commonly used in urologic and gynecologic procedures for controlled incisions.,"Collins electrode, electrosurgical knife, Collins blade",https://blueneem.com/products-list/collins-knife/
151,151_BallElectrode.png,"single-use ball electrode, Ø 6,0 mm | ST-99-525. (n.d.). Seemann. https://seemann-technologies.com/en/single-use-ball-electrode-OE-6-0-mm/ST-99-525",Ball Electrode,"A rounded, metallic surgical tool used for coagulation and hemostasis in electrosurgical procedure"," It provides uniform energy distribution, making it effective in stopping bleeding and sealing tissues.","coagulation ball, electrosurgical ball, fulguration electrode",https://seemann-technologies.com/en/single-use-ball-electrode-OE-6-0-mm/ST-99-525
152,152_RigidCystoscope.png,OES Pro rigid cystoscopes. (n.d.). Olympus America | Medical. https://medical.olympusamerica.com/products/rigid-cystoscope,Rigid Cystoscope,"A solid, tube-like instrument with an optical system used to visualize the inside of the bladder and urethra."," It is commonly used in diagnostic and therapeutic urological procedures, such as biopsies, stone removal, and tumor resections."," cystoscope, rigid endoscope, urological endoscope",https://medical.olympusamerica.com/products/rigid-cystoscope
153,153_BiopsyForceps.png,"Biopsy forceps. (2022, April 25). Sheffmed. https://www.sheffmed.com/product/biopsy-forceps/",Biopsy Forceps,A surgical instrument with a scissor-like mechanism designed to grasp and remove small tissue samples for pathological examination. ,"Commonly used in endoscopic, urological, and gynecological procedures.","tissue biopsy forceps, endoscopic biopsy forceps, punch biopsy forceps",https://www.sheffmed.com/product/biopsy-forceps/
154,154_Langenbeck Retractor.png,BlueKit Medical. (n.d.). Langenbeck Retractor. https://bluekitmedical.com/products/langenbeck-retractor,Langenbeck Retractor,"The Langenbeck retractor is a handheld surgical instrument used to retract tissues and organs during surgery. It has a flat, curved blade with a sharp or smooth edge that allows the surgeon to hold back tissues to improve visibility and access to the surgical area. The retractor is typically used for deep tissue retraction and is available in various sizes to suit different surgical needs.","The Langenbeck retractor is commonly indicated for use in procedures that require access to deep structures, such as abdominal and pelvic surgeries. It is particularly useful in bladder surgeries, abdominal surgeries, and gastrointestinal procedures, where it helps to hold back the abdominal wall, peritoneum, or other tissues to provide clear visibility and access to underlying structures during dissection or removal.","Langenbeck's Hook, Langenbeck's Tissue Retractor, Langenbeck Abdominal Retractor",https://bluekitmedical.com/products/langenbeck-retractor
